category,original_price,link,description,title,price,location
,300,https://www.livingsocial.com/deals/740978-window-cleaning-or-power-washing-services,"Lay claim to the prettiest abode on the block -- and be the envy of your neighbors -- when you land this deal from Joubert Services:

‚Ä?$99 ($300...",Window Cleaning or Power Washing Services,,San Francisco
,445,https://www.livingsocial.com/deals/658464-one-hour-photography-package,"If the photo on your driver's license doesn't make you feel like a superstar, turn to the all-female team at Dekker Photography for a luxurious day...",One-Hour Photography Package,,San Francisco
,160,https://www.livingsocial.com/deals/706500-two-or-three-swedish-massages,3R Massage and Bodyworks  boasts three experienced licensed massage therapists -- and two adorable terriers -- all of whom will help you unwind wit...,Two or Three Swedish Massages,,San Francisco
,200,https://www.livingsocial.com/deals/851840-wine-tasting-party-for-12,"Tell a Shiraz from a Sangiovese, detect that hint of cherry, talk about the full-bodied finish, and more when a friendly professional wine consulta...",Wine-Tasting Party for 12,,San Francisco
,110,https://www.livingsocial.com/deals/283474-110-to-spend-on-framing,"For more than 40 years, Nielsen Arts has been providing the Solano Avenue and North Berkeley area with expert craftsmanship; personalized, gorgeous...",$110 to Spend on Framing,,San Francisco
,75,https://www.livingsocial.com/deals/766964-one-year-membership,"Don't know left from Frank Lloyd Wright? Augment your knowledge of architecture with this deal from San Francisco Architectural Heritage:

‚Ä?$35 ...",One-Year Membership,,San Francisco
,50,https://www.livingsocial.com/deals/821242-wine-tasting-card-for-two,"If only you could get one single pass to enter many of the fantastic wineries in and around Sonoma, then tasting local wines would be so much easie...",Wine-Tasting Card for Two,,San Francisco
,140,https://www.livingsocial.com/deals/803758-two-hours-of-professional-organizing,"Since 2007, this team has helped  Burlingame  residents regain the sense of calmness and simplicity that organization brings. Let them help you bri...",Two Hours of Professional Organizing,,San Francisco
,189,https://www.livingsocial.com/deals/766316-shooting-range-admission-and-two-airsoft-guns,"You're as mysterious and suave as any secret agent, but your marksmanship is lacking. Get the practice you need to take your intelligence operation...",Shooting Range Admission and Two Airsoft Guns,,San Francisco
,200,https://www.livingsocial.com/deals/823278-exterior-cleaning-for-20-or-40-windows,"This licensed, insured, and highly professional company prides itself on making clients' windows shine. These pros use only environmentally friendl...",Exterior Cleaning for 20 or 40 Windows,,San Francisco
,806,https://www.livingsocial.com/deals/834036-3-adjustments-consult-x-rays-report,"The caring doctors at San Francisco Family Spinal Care are on a mission to empower their community to live with healthy, pain-free bodies:

‚Ä?$49...","3 Adjustments, Consult, X-Rays, & Report",,San Francisco
,600,https://www.livingsocial.com/deals/762746-90-minute-engagement-photo-shoot,"Moe Zoyari has spent his career photographing big international news events, as well as small moments of family joy. He has captured history around...",90-Minute Engagement Photo Shoot,,San Francisco
,125,https://www.livingsocial.com/deals/775734-one-hour-soothing-summer-facial,"This charming skin sanctuary is the workspace for talented esthetician Anastasia, who brings years of experience and natural Osmosis products to ea...",One-Hour Soothing Summer Facial,,San Francisco
,211,https://www.livingsocial.com/deals/813366-air-duct-cleaning-and-hvac-inspection,"Remove dust, dirt, and bacteria from your ventilation system with an air duct cleaning from Fresh Air Duct Services. It also helps increase efficie...",Air Duct Cleaning and HVAC Inspection,,San Francisco
,30,https://www.livingsocial.com/deals/724762-30-to-spend-on-drinks,"If the neon lights and gigantic aqua-blue cocktails are any indication, Cinnabar's the place to go for a great time in the Tenderloin. Stop by for ...",$30 to Spend on Drinks,,San Francisco
,,https://www.livingsocial.com/deals/815090-oktoberfest-east-bay-ticket-packages,"A family-friendly event celebrated in the style of Munich's famous celebration of beer and bratwurst, Oktoberfest held at Craneway Pavilion has a l...",Oktoberfest East Bay: Ticket Packages,,San Francisco
,60,https://www.livingsocial.com/deals/819930-women-s-health-run-10-feed-10-10k-entry-package,"You run for your health, but with today's deal you'll be running for your fellow citizens in need with an entry package to the annual Women's Healt...",Women's Health RUN 10 FEED 10: 10K Entry Package,,San Francisco
,,https://www.livingsocial.com/deals/856166-austin-city-limits-music-festival-two-vip-passes,"From the same production company that brings you Lollapalooza every year, the Austin City Limits Music Festival has gained so much popularity that ...",Austin City Limits Music Festival: Two VIP Passes,,San Francisco
,79,https://www.livingsocial.com/deals/856636-3-hour-indian-summer-cruise,"See San Francisco from a whole new vantage point with this offer from OurNightlife. Held on Friday, October 4 and Saturday, October 12, the three-h...",3-Hour Indian Summer Cruise,,San Francisco
,,https://www.livingsocial.com/deals/835936-livingsocial-s-sumo-sushi-experience,"Normally, you'd have to travel to the Land of the Rising Sun for a traditional Japanese experience, but we're turning that notion on its head... an...",LivingSocial's Sumo + Sushi Experience,,San Francisco
,150,https://www.livingsocial.com/deals/830038-3-private-30-minute-voice-lessons-cd-of-each,Whether you've been trying and struggling to embrace your full vocal range for years or want your child to establish strong technique from the begi...,3 Private 30-Minute Voice Lessons + CD of Each,,San Francisco
,99,https://www.livingsocial.com/deals/852088-remote-or-on-location-technical-support,"Like their name suggests, the pros at Any PC Trouble can handle any computer issue out there -- let these tech wizards get your computer running sm...",Remote or On-Location Technical Support,,San Francisco
ending soon,90,https://www.livingsocial.com/deals/853810-digital-fall-wearable-technology-show,"""Wearables"" are arguably the buzziest thing in tech right now, and with this offer you can get a front-row seat to see the latest innovations at th...",Digital Fall: Wearable Technology Show,,San Francisco
,26,https://www.livingsocial.com/deals/854462-cal-bears-ticket-tailgate-transportation,"Experience all the hard hits and pulse-pounding action as the Cal Bears take the field at Memorial Stadium for another exciting season, their first...",Cal Bears: Ticket + Tailgate + Transportation,,San Francisco
,125,https://www.livingsocial.com/deals/829934-frys-com-open-vip-ticket-package-parking,"On October 9, the day all golf aficionados have been waiting for arrives: the new PGA TOUR season begins at the Frys.com Open. See 132 of the PGA T...",Frys.com Open: VIP Ticket Package + Parking,,San Francisco
,250,https://www.livingsocial.com/deals/832286-two-hours-of-electrical-services,"When technology fails us in this modern world, it can come as quite a shock. Let these electrical experts help you tackle a remodel or ensure your ...",Two Hours of Electrical Services,,San Francisco
,,https://www.livingsocial.com/deals/762644-49ers-experience-ticket-transportation-more,"After a breathtaking playoff run last season all the way to the Super Bowl, the San Francisco 49ers are poised to repeat as NFC conference champs a...",49ers Experience: Ticket + Transportation + More,,San Francisco
,75,https://www.livingsocial.com/deals/857416-sfjazz-concert-ticket,"It's only right that the word ""jazz"" be in the name of the SFJAZZ Center -- it was built specifically for this genre of music, after all, with stat...",SFJAZZ: Concert Ticket,,San Francisco
,80,https://www.livingsocial.com/deals/818070-turf-club-admission-for-two-10-to-spend-on-food,"Ladies and gentlemen, it's post time! Bet on this deal and win a day at the track from Golden Gate Fields:

‚Ä?$39 ($80 value) for two Turf Club a...",Turf Club Admission for Two & $10 to Spend on Food,,Oakland / East Bay
,50,https://www.livingsocial.com/deals/816652-50-to-spend-on-weekday-brunch,"Best Seller: 1,000 sold last time!

Cafe M has garnered tons of praise, from the Chronicle to Urbanspoon, with one reviewer singling out ""the bes...",$50 to Spend on Weekday Brunch,,Oakland / East Bay
,138,https://www.livingsocial.com/deals/824382-facial-bikini-wax-brow-shaping-and-pedi,"At Simply Green Day Spa all products -- from facial creams to nail care -- are free from DBA, toluene, formaldehyde, paraben, phalate, and animal t...","Facial, Bikini Wax, Brow Shaping, and Pedi",,Oakland / East Bay
,40,https://www.livingsocial.com/deals/806518-40-to-spend-on-brunch,We can think of no more perfect way to while away the weekend than at a table overflowing with Italian-leaning brunch fare at this classic Park Str...,$40 to Spend on Brunch,,Oakland / East Bay
,75,https://www.livingsocial.com/deals/824484-key-to-the-city-food-and-sights-tour-of-oakland,"Foodies, history buffs, nature lovers, and anyone else with a penchant for adventure will fall head-over-heels for this walking tour, led by the eb...","""Key to the City"" Food and Sights Tour of Oakland",,Oakland / East Bay
,43,https://www.livingsocial.com/deals/762368-family-amusement-park-day-pass-for-five-people,Find out for yourself why this enchanted kingdom of a theme park has been included among LivingSocial's Best of the Best for the second year runnin...,Family Amusement Park Day Pass for Five People,,Oakland / East Bay
,78,https://www.livingsocial.com/deals/740394-private-or-corporate-massages,"Deemed ""the best massage EVER"" by one LivingSocial member, Body Techniques's massages in Alameda are a true treat available seven days a week:

‚Ä?..",Private or Corporate Massages,,Oakland / East Bay
,110,https://www.livingsocial.com/deals/844682-two-hour-introductory-group-surfing-lesson,"An activity as athletically demanding as surfing deserves qualified instruction, and the lifelong riders at University of Surfing will give you all...",Two-Hour Introductory Group Surfing Lesson,,SF Peninsula
,130,https://www.livingsocial.com/deals/825370-hour-long-golf-lesson-for-two,"With options available for an adult with a child, a couple, or one adult, this deal from Burlingame Golf Center makes a great family bonding activi...",Hour-Long Golf Lesson for Two,,SF Peninsula
only 51 left,70,https://www.livingsocial.com/deals/834138-10-or-20-open-gym-sessions-with-registration-fee,"Serving San Mateo since 1995, this 4,600-square-foot facility is a beacon of fitness and fun for kids 6 months to 7 years old -- making it the perf...",10 or 20 Open Gym Sessions with Registration Fee,,SF Peninsula
,100,https://www.livingsocial.com/deals/772150-massage-or-neuromuscular-reprogramming,"""Jocelyn was able to identify issues in my body that no one had identified,"" says one grateful client at Healus Neuro Rehab Center. Step into this ...",Massage or Neuromuscular Reprogramming,,Marin County
,140,https://www.livingsocial.com/deals/834288-one-month-wingchun-self-defense-classes,WingChun is a powerful self-defense art designed to keep you safe. Learn to confidently use your natural human biodynamics for real situations. Def...,One Month WingChun Self-Defense Classes,,Oakland / East Bay
,75,https://www.livingsocial.com/deals/830162-one-hour-of-floatation-therapy,Floating is a form of Restricted Environmental Stimulation Therapy -- which is why stress and cares seem to melt away as warm water cradles you in ...,One Hour of Floatation Therapy,,Oakland / East Bay
,225,https://www.livingsocial.com/deals/837726-two-hour-bio-magnetism-session,"For nearly three decades, health enthusiasts have been trying this innovative Latin American therapy, which is designed to restore balance to your ...",Two-Hour Bio-Magnetism Session,,Marin County
,73,https://www.livingsocial.com/deals/779342-shellac-manicure-signature-hot-stone-pedicure,"A sexy set of manicured nails is always a fashion must, so pretty up your paws at this Sausalito spot, with a service that can last up to two weeks...",Shellac Manicure + Signature Hot Stone Pedicure,,Marin County
,60,https://www.livingsocial.com/deals/818792-vegan-or-raw-chocolate-cooking-class,"Having transformed her life through -- not dieting -- but healthier living and better eating, Psalm Lewis can help you change your ways with this d...",Vegan or Raw Chocolate Cooking Class,,Oakland / East Bay
,30,https://www.livingsocial.com/deals/834278-30-or-60-to-spend-on-food-and-drink,"Sumptuous cuisine and a romantic setting await you at Khana Peena, a North Berkeley eatery with quaint, cozy d√©cor that mixes styles of American br...",$30 or $60 To Spend on Food and Drink,,Oakland / East Bay
,550,https://www.livingsocial.com/deals/820942-laser-toenail-fungus-removal-treatment,"Treat your feet to this deal from Petras Medical Clinic, a Daly City facility that boasts treatment rooms with peaceful views of the Pacific Ocean:...",Laser Toenail Fungus-Removal Treatment,,SF Peninsula
,213,https://www.livingsocial.com/deals/817090-day-long-spa-package,"Within this tranquil San Mateo spa, allow healing waters -- and hands -- to help you unwind and achieve total relaxation: 

‚Ä?$99 ($213 value) fo...",Day-Long Spa Package,,SF Peninsula
,185,https://www.livingsocial.com/deals/809248-keratin-treatment-haircut-and-style,"Tired of battling frizz? Let a keratin treatment repair your locks to leave them smooth, soft, straight, and shiny -- or brighten your mane with vi...","Keratin Treatment, Haircut, and Style",,SF Peninsula
,100,https://www.livingsocial.com/deals/765388-hair-package-with-kerastase-or-one-hour-facial,"Nourish your strands or your complexion with this duo of offers from a chic Albany salon featuring a talented team of stylists and estheticians:
...",Hair Package with Kerastase or One-Hour Facial,,Oakland / East Bay
only 91 left,100,https://www.livingsocial.com/deals/844990-one-hour-golf-lesson-or-package-of-six-lessons,"When your golf instructor has a championship named after him and is a longstanding PGA pro, you know he's way above par. Learn from a professional ...",One-Hour Golf Lesson or Package of Six Lessons,,SF Peninsula
,365,https://www.livingsocial.com/deals/815096-chiropractic-package-with-a-one-hour-massage,"Dr. Eric C. Smith, DC, is a seasoned pro of more than two decades, and he and his team will try to get to the root of your wincing with a gentle, s...",Chiropractic Package with a One-Hour Massage,,Oakland / East Bay
,119,https://www.livingsocial.com/deals/769172-95-minute-classic-thai-massage,"Thai massage brings relaxation through a unique Land of Smiles method. Experience a new type of wellness at LeeLaWaDee Thai Classic Massage, a 2012...",95-Minute Classic Thai Massage,,SF Peninsula
,250,https://www.livingsocial.com/deals/832448-one-month-of-unlimited-boot-camp,Forget limiting yourself to a repetitive fitness routine -- The Inner Athlete keeps you on your toes -- no two workouts are the same. They incorpor...,One Month of Unlimited Boot Camp,,Oakland / East Bay
only 17 left,210,https://www.livingsocial.com/deals/832132-20-crossfit-classes,"A plateau may be a beautiful geographical feature, but it's not what you want to reach in terms of your workout goals. Avoid such fitness fate with...",20 CrossFit Classes,,Marin County
,80,https://www.livingsocial.com/deals/810566-thai-food-and-drinks-for-lunch-or-dinner,"Thailand is the Land of a Thousand Smiles, and the owners of Siam Orchid aim to bring the grins to Palo Alto by serving delicious Thai fare. Every ...",Thai Food and Drinks for Lunch or Dinner,,SF Peninsula
,350,https://www.livingsocial.com/deals/851386-hair-smoothing-treatment-haircut-or-highlights,"This charming Burlingame salon offers free parking, and it's staffed by experts who will help you find a style that's just right for your look. Wit...","Hair-Smoothing Treatment, Haircut, or Highlights",,SF Peninsula
,200,https://www.livingsocial.com/deals/797142-gutter-cleaning-for-a-one-or-two-story-house,"You don't have to be Ms. Tidy to have the cleanest gutters in your neighborhood -- you just have to know all about Mr. Clean Gutters:

‚Ä?$49 ($20...",Gutter Cleaning for a One- or Two-Story House,,Oakland / East Bay
,135,https://www.livingsocial.com/deals/734976-one-month-of-unlimited-yoga,"This Burlingame studio provides a sanctuary for the body and mind; practitioners love the simple, quiet atmosphere and the opportunity to explore a...",One Month of Unlimited Yoga,,SF Peninsula
